Запись на прием H5-4

№	Данные	Наименование на английском языке	Характеристика данных (формат данных)
1	Идентификатор записи	ID	символьный
2	Пациент, который записан на сетку	PatientID	справочный
3	Дополнительная информация сетки расписания	GridScheduleAddID	символьный
4	Дата и время приема	ReceptionDate	Дата и время
5	Бронь	ReserveID	символьный
6	Идентификатор направления	ReferralID	символьный
7	Идентификатор услуги (тарификатор)	TarificatorID	символьный
8	Повод обращения	TreatmentReasonID	справочный
9	Основная услуга из тарификатора	ReferralServiceID	справочный
10	Дата добавления записи (текущая дата)	RegDate	Дата и время
11	Источник финансирования	TypSrcFinID	справочный
12	Шаг приема при записи на сетку	Step	
13	отмена	cancellation	комплекс
	-Отменено	IsCancelReception	
	-Дата отмены приема	CancelReceptionDate	Дата и время
	-Пользователь, который отменил запись на прием. Ссылка на ID записи из таблицы Users	CancelUserID	справочный
	-Состояние записи на прием для распределения ( 0-НЕ требуется распределение, 1-требуется распределение, 2-распределена)	StateRecordForDistribution	символьный
	-Если запись на прием была распределена со старого графика работы,то сюда записываем ссылку на старую запись на прием	OldGridScheduleRecordID	символьный
	-Причина отмены приема пациента. Ссылка на ID записи из таблицы hCancelReceptionReason	CancelReceptionReasonID	символьный
14	Пользователь, который изменил запись. Ссылка на ID записи из таблицы Users	ModifyUserID	символьный
15	Дата и время изменения записи	ModifyDate	Дата и время
16	Флаг визита пациента по записи на прием (0 - был визит, 1 - не было визита)	IsPatientVisited	символьный
