вакцинация Н1-31  

№	Данные	Наименование на английском языке	Характеристика данных (формат данных)
	Н1-31 Минимальный набор данных о вакцинации		
1	Вид прививки	typeVac	Справочный
2	Дата и время прививки	Date	Дата и время
3	Наименование заболевания, против которого применена вакцина	mkb	Справочный
4	Название препарата вакцины, анатоксина и прочие	nameVac	Справочный
5	Страна-производитель	country	Справочный
6	Номер партии	partNumber	Справочный
7	Номер серии	serialNumber	Текстовый
8	Код АТХ	ATX	Текстовый
9	Путь введения	injection	Справочный
10	Дозировка в одной единице (лекарственной форме)	dosage	Справочный
11	Единица измерения дозировки	unit	Числовой
12	Количество введенного ЛС, мл, доз, ед	countDrug	Справочный
13	Побочная реакция или нежелательное явление	reaction	Числовой
14	Причины непривитости	reason	Справочный
15	Данные заполняется при оказании пациенту антирабической помощи	AntHelpPatient	комплексный
	-	Описание повреждения и его локализация	descriptionHurt	Текстовый
	-	Сведения об укусившем, оцарапавшем, ослюнившем животном	animal	Текстовый
	-	Обстоятельства укуса, оцарапания, ослюнения	situation	Текстовый
	-	Бешенство животного установлено ветврачом	animalRabies	Справочный
	-	Состояние животного	AnimalCondition	Текстовый
	-	Назначение прививки	purpose	Текстовый
	-	Назначенный режим	PrescribedRegimen	Справочный
	-	Реакция на внутрикожную пробу	ReactionIntradermalTest	Текстовый
	-	Десенсибилизация	Desensitization	Текстовый
	-	Суточная доза	Daily dose	Текстовый
	-	Осложнения во время проведения прививок	Complications	Текстовый
	-	Курс прививок полностью закончен/отменен	completedCancelled	Текстовый
	-	Какие приняты меры к продолжению прерванных прививок	measures	Текстовый
	-	Примечание	Note	Текстовый
