вызов на дом H5-3

№	Данные	Наименование на английском языке	Характеристика данных (формат данных)
1	Идентификатор записи	ID	Символьный
2	Организация здравоохранения	MoID	Символьный
3	Пациент	PatientID	Справочный
4	Адрес пациента	PAddressID	Справочный
5	Номер вызова	CallingNumber	Справочный
6	Повод вызова	CallingReason	Справочный
7	Дополнительная информация	AdditionalInformation	Справочный
8	Необходимо дальнейшее активное посещение	NeedActive	Справочный
9	Периодичность активного посещения	ActiveVisitPeriod	Справочный
10	Единица измерения периодов посещения	DurationTypeID	Справочный
11	Количество активных посещений	ActiveVisitCount	Числовой
12	Исполнитель (врач)	ExecutorPostID	Справочный
13	Статус вызова	CallingStatusID	Справочный
14	Вид посещения	VisitTypeID	Справочный
15	Дата выполнения вызова	ExecutionDate	Дата и время
16	Время начала вызова	ExecutionBeginTime	Дата и время
17	Время окончания вызова	ExecutionEndTime	Дата и время
18	Запись на прием	GridScheduleRecordID	Справочный
19	Исход вызова врача на дом	CallingEndID	Справочный
20	Родительская запись (Основной вызов)	ParentID	Справочный
21	Признак удаления	IsDeleted	Справочный
22	Дата удаления	DeleteDate	Дата и время
23	Пользователь, который удалил	DeleteUserID	Справочный
24	Пользователь, который изменил запись. Ссылка на ID записи из таблицы Users	ModifyUserID	Справочный
25	Дата и время изменения записи	ModifyDate	Дата и время
26	Заболевания при вызове врача	CallingDoctorSicks	
	Идентификатор записи	ID	Символьный
	Вызов врача на дом	CallingDoctorID	Справочный
	Заболевание	SickID	Справочный
	Дата регистрации	RegDate	Дата и время
	Зарегистрировавший пользователь	RegUserID	Справочный
	Тип диагноза	DiagTypeID	Справочный
	Вид диагноза	DiagnosisTypeID	Справочный
	Пользователь, который изменил запись. Ссылка на ID записи из таблицы Users	ModifyUserID	Справочный
	Дата и время изменения записи	ModifyDate	Дата и время
27	ИСТОРИЯ ВЫЗОВОВ ВРАЧА	CALLINGDOCTORSTATUSESHISTORY	
	Идентификатор записи	ID	Символьный
	Вызов врача на дом	CallingDoctorID	Справочный
	Статус	CallingStatusID	Справочный
	Дата изменения статуса	ChangeDate	Дата и время
	Пользователь, который изменил статус	RegPostID	Справочный
	Причина отклонения	RejectReason	Справочный
	Пользователь, который изменил запись. Ссылка на ID записи из таблицы Users	ModifyUserID	Справочный
	Дата и время изменения записи	ModifyDate	Дата и время
	Время вызова	CALLINGTIMESETTINGS	
	Идентификатор записи	ID	Символьный
	Идентификатор МО	MoID	Символьный
	Возрастная группа	AgeGroupID	Справочный
	Время начала	BeginTime	Дата и время
	Время окончания	EndTime	Дата и время
	Дата начала	BeginDate	Дата и время
	Дата окончания	EndDate	Дата и время
	Примечание	Note	Текстовый
	Пользователь, который изменил запись. Ссылка на ID записи из таблицы Users	ModifyUserID	Справочный
	Дата и время изменения записи	ModifyDate	Дата и время
