направление на КДУ  H5-5


№	Данные	Наименование на английском языке	Характеристика данных (формат данных)
1	ИД Направления	ReferralID	символьный
2	ДатаНаправления	ReferralDate	Дата и время
3	Пациент РПН ИД	PatientID	символьный
4	НаправительОрганизация	SenderMO	справочный
5	НаправительСотрудник	SenderEmployee	справочный
6	НаправительДолжность	SenderPosition	справочный
7	ПолучательОрганизация	SenderOrganization	справочный
8	ИсточникФинансирования	financeSource	справочный
9	КодУслуги	ReferralServiceID	справочный
10	Услуга	ReferralService	справочный
11	ТипДиагноза	diagType	справочный
12	КодДиагнозаМКБ10	icd10	справочный
13	ПоводОбращения	treatmentReason	справочный
14	ДатаОтмены	CanselDate	Дата и время
15	ИДНаправленияМИС	ReferralIDMIS	символьный
16	Статус направления	ReferralIStatus	справочный
17	ТипОплаты	PaymentType	справочный
18	Идентификатор типа оплаты	PaymentTypeID	символьный
19	СкринингИД	ScreeningId	символьный
20	ИсточникФинансированияФСМС	financeSourceFSMS	справочный
21	Выполнено	Executed	справочный
22	ИИНПациента	PatientIIN	символьный
23	ФамилияВрача	DoctorFirstName	справочный
24	ИмяВрача	DoctorLastName	справочный
25	ОтчествоВрача	DoctorMiddleName	справочный
26	Количество	Count	справочный
27	ЦелеваяГруппа	targetGroup	справочный
28	Поставщик	Customer	справочный
29	Субподрядчик	Performer	справочный
30	ЧекЛист	CheckList	справочный
31	СтатусПациента	PatientStatus	справочный
32	ХарактеристикаДиагноза	diagChar	справочный
33	ВидДиагноза	diagKind	справочный
