
Прием  H01-27
№	Данные
1	Идентификатор услуги
2	Субподрядчик
3	Договор
4	ПодразделениеПоставщика
5	ПодразделениеСубподрядчика
6	РаботникПоставщика
7	РаботникСубподрядчика
8	ВидКДУУслуги
9	Код услуги
10	ТипОплаты
11	Источник финансирования
12	ПредметЛизинга
13	Цена
14	ИдентификаторПациента
15	ИНН
16	МестоОказанияУслуги
17	ПоводОбращения
18	ВидПосещения
19	ВидАктивногоПосещения
20	ВидСкрининга
21	СкринингИД
22	ВидНаправления
23	Идентификатор направления
24	ТипДиагноза
25	ВидДиагноза
26	ХарактеристикаДиагноза
27	КодДиагнозаМКБ10
28	Наменование диагноза 
29	Диагноз
30	Статус диагноза
31	Заключение врача (профильной специальности)
32	Заключение врача (профильной специальности), уточнение
	Осмотр пациента
33	Жалобы
34	Анамнез жизни
35	Анамнез заболевания
36	Список текущих проблем со здоровьем
37	Текущий статус пациента на момент осмотра
38	Статус впервые выявленного состояния
39	Течение заболевания
40	Динамика состояния пациента
41	Интерпретация лабораторно-диагностических исследований
42	Течение послеродового периода (только для организаций здравоохранения, ведущих наблюдение за этой категорией пациентов)
43	Данные партограммы (только для организаций здравоохранения, ведущих наблюдение за этой категорией пациентов)
44	Течение послеоперационного периода (только для организаций, ведущих наблюдение за этой категорией пациентов)
45	Рекомендации
	Назначения
46	Режим
47	Диета
48	Идентификатор направления
48.1	Код услуги
48.2	Дата начала действия назначения
48.3	Дата окончания действия назначения
48.4	Количество услуг
	Медикаментозное назначение
49	Лекарственное средство Торговое наименование
49	Код АТХ
49	Код МНН
49	Уникальный идентификатор торгового наименование
49	Код лекарственной формы
49	Количество дозировки лекарственного средства
49	Код единицы измерения дозировки
49	Количество единиц на прием
49	Количество приемов в сутки
49	Концентрация
49	Код способа введения лекарственного средства
49	Количество единиц в упаковке
49	Количество единиц назначения
49	Дата начала приема
49	Количество дней приема
49	Дата окончания приема
49	Описание нерегулярной схемы
49	Общее количество единиц за весь период на нерегулярную схему
49	Сигнатура
49	Признак необходимости выписки рецепта
49	Признак типа рецепта
49	Проба
49	Дозировка в одной единице (лекарственной форме)
49	Единица измерения дозировки
49	Путь введения
49	Кратность приема
49	Рекомендации по времени их назначения и времени отмены каждого назначенного лекарственного средства
