услуги Н1-27-2

№	Данные	Наименование на английском языке	Характеристика данных (формат данных)
1	Идентификатор	identifier	Символьный
2	ПериодУслуги	date	Дата и время
3	Поставщик	CustomerOrganizationId	Справочный
4	Субподрядчик	PerformerOrganizationId	Справочный
5	Договор	Contract	Символьный
6	ПодразделениеПоставщика	CustomerDepartament	Справочный
7	ПодразделениеСубподрядчика	PerformerDepartament	Справочный
8	РаботникПоставщика	CustomerEmployee	Справочный
9	ИдентификаторПациента	PatientID	Символьный
10	РаботникСубподрядчика	PerformerEmployee	Справочный
11	Услуга	service	Справочный
12	Пациент	Patient	Справочный
13	Цена	Price	Справочный
14	ФИОФизлица	PersonName	Справочный
15	ДатаРождения	PersonBirthDate	Дата и время
16	ИНН	IIN	Символьный
17	ИсточникФинансирования	financeSource	Справочный
18	Количество	ServiceCount	Числовой
19	Сумма	Summ	Числовой
20	ПоводОбращения	treatmentReason	Справочный
21	ВидПосещения	visitKind	Справочный
22	КодДиагнозаМКБ10	icd10	Справочный
23	ПредметЛизинга	leasing	Справочный
24	ВидКДУУслуги	ServiceCDSKind	Справочный
25	ТипОплаты	paymentType	Справочный
26	ДатаПодтверждения	ExecuteDate	Дата и время
27	КодУслуги	ServiceCode	Справочный
28	ИсточникФинансированияФСМС	financeSourceFSMS	Справочный
29	МестоОказанияУслуги	place	Справочный
30	ВидАктивногоПосещения	visitKindActive	Справочный
31	ВидСкрининга	ScreeningType	Справочный
32	ИДНаправления	ReferralID	Символьный
33	ИдентификаторОсновной	ParentId	Символьный
34	ТипДиагноза	DiagType	Справочный
35	ДополнительнаяУслуга	AddService	Справочный
36	СоцСтатус	SocialStatus	Справочный
37	СкринингИД	ScreeningId	Символьный
38	ХарактеристикаДиагноза	DiagChar	Справочный
39	ВидДиагноза	DiagType	Справочный
40	СтатусПациента	PatientStatus	Справочный
41	РПНИДМатери	MotherRPNId	Символьный
42	ДатаЗагрузки	loadDate	Дата и время
43	ВидНаправления	ReferralType	Справочный
44	Отправлен	Send	Справочный
45	ДатаИзменения	DateEdit	Дата и время
